"48,XXYY syndrome";21
"Ataxia-telangiectasia";6310
"Ocular albinism with late-onset sensorineural deafness";0
"Reticular perineurioma";8
"Sclerosing perineurioma";29
"Extraneural perineurioma";10
"Intraneural perineurioma";50
"ABeta amyloidosis, Dutch type";0
"ACys amyloidosis";0
"Lissencephaly with cerebellar hypoplasia type A";0
"Lissencephaly with cerebellar hypoplasia type B";0
"Lissencephaly with cerebellar hypoplasia type C";0
"Lissencephaly with cerebellar hypoplasia type D";0
"Lissencephaly with cerebellar hypoplasia type E";0
"Lissencephaly with cerebellar hypoplasia type F";0
"Refractory anemia with excess blasts type 1";0
"Refractory anemia with excess blasts type 2";0
"Primary plasmacytoma of the bone";0
"Extramedullary soft tissue plasmacytoma";2
"Mu-heavy chain disease";23
"Alpha-heavy chain disease";62
"Gamma-heavy chain disease";71
"Hypoplastic amelogenesis imperfecta";42
"Hypocalcified amelogenesis imperfecta";20
"Hypomaturation amelogenesis imperfecta";19
"Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism";0
"Solitary necrotic nodule of the liver";23
"Familial pseudohyperkalemia type 1";0
"Autosomal dominant intermediate Charcot-Marie-Tooth disease type A";0
"Autosomal dominant intermediate Charcot-Marie-Tooth disease type B";0
"Autosomal dominant intermediate Charcot-Marie-Tooth disease type C";0
"Autosomal dominant intermediate Charcot-Marie-Tooth disease type D";0
"Esophageal duplication cyst";72
"Tubular duplication of the esophagus";0
"Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies";0
"Hereditary angioedema type 1";1
"Hereditary angioedema type 2";1
"Hereditary angioedema type 3";2
"Acquired angioedema type 2";1
"Acquired angioedema type 1";0
"Renin-angiotensin-aldosterone system-blocker-induced angioedema";0
"Waterhouse-Friderichsen syndrome";99
"Semantic dementia";802
"Progressive non-fluent aphasia";117
"Mosaic trisomy 3";2
"Neurogenic thoracic outlet syndrome";115
"Gastric neuroendocrine tumor";25
"Duodenal neuroendocrine tumor";14
"Jejunal neuroendocrine tumor";0
"Ileal neuroendocrine tumor";10
"Neuroendocrine tumor of the appendix";0
"Neuroendocrine tumor of the colon";1
"Neuroendocrine tumor of rectum";0
"Neuroendocrine tumor of the anal canal";0
"Laryngeal neuroendocrine tumor";2
"Middle ear neuroendocrine tumor";0
"Primary hepatic neuroendocrine carcinoma";27
"Gallbladder neuroendocrine tumor";0
"Thyroid tumor";957
"Thyroid carcinoma";13361
"Rare parathyroid tumor";2
"Adrenal/paraganglial tumor";0
"Gastroenteropancreatic endocrine tumor";0
"Carcinoid syndrome";1440
"Multiple polyglandular tumor";0
"2q37 microdeletion syndrome";3
"Thymic tumor";134
"Neuroendocrine tumor with other location";0
"Scalp defects-postaxial polydactyly syndrome";0
"Alopecia-contractures-dwarfism-intellectual disability syndrome";0
"Alopecia antibody deficiency";0
"Alopecia-epilepsy-pyorrhea-intellectual disability syndrome";0
"Porphyria due to ALA dehydratase deficiency";0
"Nuclear oculomotor paralysis";0
"FRAXE intellectual disability";3
"FRAXF syndrome";0
"Bathing suit ichthyosis";9
"Cloverleaf skull-asphyxiating thoracic dysplasia syndrome";0
"Autosomal dominant complex spastic paraplegia";0
"Autosomal dominant pure spastic paraplegia";10
"Autosomal recessive complex spastic paraplegia";0
"Autosomal recessive pure spastic paraplegia";0
"Autosomal dominant spastic paraplegia type 3";0
"Autosomal dominant spastic paraplegia type 4";0
"Autosomal recessive spastic paraplegia type 5A";0
"Autosomal dominant spastic paraplegia type 6";0
"Autosomal dominant spastic paraplegia type 8";0
"Autosomal dominant spastic paraplegia type 9";0
"Autosomal dominant spastic paraplegia type 10";0
"Autosomal dominant spastic paraplegia type 12";0
"Autosomal dominant spastic paraplegia type 13";0
"Autosomal recessive spastic paraplegia type 14";0
"Autosomal recessive spastic paraplegia type 15";0
"X-linked spastic paraplegia type 16";0
"Autosomal dominant spastic paraplegia type 17";0
"Autosomal dominant spastic paraplegia type 19";0
"Dentatorubral pallidoluysian atrophy";304
"Autosomal dominant palmoplantar keratoderma and congenital alopecia";0
"Autosomal recessive spastic paraplegia type 20";0
"Autosomal recessive spastic paraplegia type 21";0
"Autosomal recessive spastic paraplegia type 23";0
"Autosomal recessive spastic paraplegia type 24";0
"Autosomal recessive spastic paraplegia type 25";0
"Autosomal recessive spastic paraplegia type 26";0
"Autosomal recessive spastic paraplegia type 27";0
"Autosomal recessive spastic paraplegia type 28";0
"Autosomal dominant spastic paraplegia type 29";0
"Autosomal spastic paraplegia type 30";0
"Autosomal dominant spastic paraplegia type 31";0
"Romano-Ward syndrome";202
"Mediterranean macrothrombocytopenia";5
"Cleft hard palate";8
"Transaldolase deficiency";21
"Sub-cortical nodular heterotopia";0
"Subependymal nodular heterotopia";7
"Peters anomaly-cataract syndrome";0
"Female restricted epilepsy with intellectual disability";0
"Familial hypofibrinogenemia";2
"Aortic valve dysplasia";2
"Autosomal dominant epilepsy with auditory features";3
"Familial hypocalciuric hypercalcemia type 2";2
"Familial hypocalciuric hypercalcemia type 3";4
"Situs inversus totalis";356
"Congenital stromal corneal dystrophy";7
"Bilateral frontoparietal polymicrogyria";36
"Unilateral hemispheric polymicrogyria";0
"X-linked Charcot-Marie-Tooth disease type 1";4
"X-linked Charcot-Marie-Tooth disease type 2";0
"X-linked Charcot-Marie-Tooth disease type 3";0
"X-linked Charcot-Marie-Tooth disease type 4";0
"Charcot-Marie-Tooth disease type 1A";248
"Charcot-Marie-Tooth disease type 1B";40
"Charcot-Marie-Tooth disease type 1C";11
"Charcot-Marie-Tooth disease type 1D";0
"Charcot-Marie-Tooth disease type 1F";0
"X-linked hyper-IgM syndrome";146
"Hyper-IgM syndrome type 2";4
"Hyper-IgM syndrome type 3";0
"Hyper-IgM syndrome type 4";0
"Hyper-IgM syndrome type 5";0
"Aregenerative anemia";24
"Autosomal recessive Charcot-Marie-Tooth disease with hoarseness";0
"Alopecia-hypogonadism-extrapyramidal syndrome";0
"Charcot-Marie-Tooth disease type 2B2";0
"Charcot-Marie-Tooth disease type 2H";0
"Marin-Amat syndrome";8
"Non-secreting chemodectoma";0
"Spinocerebellar ataxia type 22";0
"Spinocerebellar ataxia type 23";6
"Spinocerebellar ataxia type 28";13
"Spinocerebellar ataxia type 20";5
"Spinocerebellar ataxia type 25";0
"Spinocerebellar ataxia type 26";1
"Autosomal recessive dopa-responsive dystonia";7
"Dystonia 14";7
"Pulmonary valve agenesis-tetralogy of Fallot-absence of ductus arteriosus syndrome";0
"Porphyria cutanea tarda";1113
"African tick typhus";2
"Familial isolated congenital asplenia";0
"Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome";0
"Rare urogenital disease";0
"Rare genetic eye disease";0
"Rare non-syndromic intellectual disability";0
"X-linked diffuse leiomyomatosis-Alport syndrome";0
"Epstein syndrome";34
"Anomaly of the mitral subvalvular apparatus";0
"Genetic cardiac rhythm disease";0
"Rare gastroesophageal disease";0
"Rare pancreatic disease";0
"Rare vascular liver disease";0
"Rare parenchymal liver disease";0
"Rare metabolic liver disease";0
"Rare biliary tract disease";0
"Rare hepatic and biliary tract tumor";0
"Rare pulmonary disease";24
"Rare bronchopulmonary tumor";0
"Rare acquired eye disease";0
"Rare eye tumor";4
"Rare diabetes mellitus";0
"Rare dyslipidemia";0
"Rare adrenal disease";0
"Rare thyroid disease";2
"Polyendocrinopathy";549
"Pituitary deficiency";209
"Primary adrenal insufficiency";369
"Chronic primary adrenal insufficiency";5
"Genetic chronic primary adrenal insufficiency";0
"Acquired chronic primary adrenal insufficiency";0
"Combined T and B cell immunodeficiency";0
"Immunodeficiency predominantly affecting antibody production";0
"Quantitative and/or qualitative congenital phagocyte defect";0
"Constitutional neutropenia";4
"Primary immunodeficiency due to a defect in innate immunity";0
"Immunodeficiency due to a complement cascade protein anomaly";0
"Periodic fever syndrome";204
"Primary immunodeficiency";2316
"Rare epilepsy";0
"Multiple system atrophy";2760
"Early-onset autosomal dominant Alzheimer disease";4
"Medullar disease";0
"Rare ataxia";0
"Rare movement disorder";67
"Brain inflammatory disease";3
"Neurovascular malformation";0
"Classic lissencephaly";9
"Other syndrome with lissencephaly as a major feature";0
"Lissencephaly type 3";0
"Pure hereditary spastic paraplegia";33
"Complex hereditary spastic paraplegia";15
"Autosomal dominant limb-girdle muscular dystrophy";44
"Autosomal recessive limb-girdle muscular dystrophy";69
"Autosomal monosomy";14
"Rickettsial disease";265
"Spotted fever rickettsiosis";45
"Typhus-group rickettsiosis";6
"Human herpesvirus 8-related disorder";0
"Nuclear cell envelopathy";0
"Amaurosis-hypertrichosis syndrome";0
"Unexplained periodic fever syndrome";0
"Multiple congenital anomalies/dysmorphic syndrome-intellectual disability";0
"Multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome";0
"Multiple congenital anomalies/dysmorphic syndrome without intellectual disability";0
"Congenital generalized hypertrichosis, Ambras type";0
"Rare syndromic intellectual disability";0
"Primary glomerular disease";164
"Acute myeloid leukemia and myelodysplastic syndromes related to alkylating agent";0
"Acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor";0
"Autosomal recessive amelia";0
"Acute myeloid leukemia with t(8;21)(q22;q22) translocation";0
"Ameloonychohypohidrotic syndrome";0
"Amelogenesis imperfecta-nephrocalcinosis syndrome";0
"Hyperdibasic aminoaciduria type 1";0
"Amniotic bands";152
"Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria";0
"Arthrogryposis multiplex congenita";370
"Chronic diarrhea due to glucoamylase deficiency";0
"Congenital sodium diarrhea";12
"Diarrhea-vomiting due to trehalase deficiency";0
"Congenital enterocyte heparan sulfate deficiency";0
"Epithelio-exfoliative colitis-deafness syndrome";0
"Autoimmune enteropathy type 2";0
"Autoimmune enteropathy type 3";0
"Tropical pancreatitis";73
"Autoimmune pancreatitis";1211
"Undetermined colitis";16
"Leber hereditary optic neuropathy";334
"Metaphyseal anadysplasia";7
"Congenital intestinal transport defect";0
"Intestinal disease due to vitamin absorption anomaly";0
"Intestinal disease due to fat malabsorption";0
"Congenital intestinal disease due to an enzymatic defect";0
"Congenital enteropathy involving intestinal mucosa development";0
"Short bowel syndrome";2307
"Rare disease involving intestinal motility";0
"Intestinal polyposis syndrome";5
"Rare tumor of intestine";0
"Rare inflammatory bowel disease";0
"Metabolic disease with intestinal involvement";0
"Adenocarcinoma of small instestine";0
"Leiomyosarcoma of small intestine";0
"Myopathic intestinal pseudoobstruction";0
"Unclassified intestinal pseudoobstruction";0
"Hydrops fetalis";2452
"Lethal hemolytic anemia-genital anomalies syndrome";0
"Sideroblastic anemia";869
"Isolated anencephaly/exencephaly";0
"Atresia of urethra";0
"Ramos-Arroyo syndrome";2
"Mosaic variegated aneuploidy syndrome";33
"Vein of Galen aneurysm";96
"Aneurysm of sinus of Valsalva";69
"Fetal left ventricular aneurysm";0
"Blue rubber bleb nevus";186
"Systemic cystic angiomatosis-Seip syndrome";0
"Hereditary neurocutaneous malformation";0
"Tufted angioma";118
"Aniridia-renal agenesis-psychomotor retardation syndrome";0
"Aniridia-cerebellar ataxia-intellectual disability syndrome";0
"Aniridia-ptosis-intellectual disability-familial obesity syndrome";0
"Aniridia-intellectual disability syndrome";0
"Aniridia-absent patella syndrome";0
"BOR syndrome";111
"Anisakiasis";404
"Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome";8
"Ankyloblepharon filiforme adnatum-cleft palate syndrome";0
"Ankyloblepharon filiforme-imperforate anus syndrome";0
"Dental ankylosis";24
"Thumb stiffness-brachydactyly-intellectual disability syndrome";0
"Babesiosis";692
